node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
WAC,3.0,0.30779,2.0,3.0,3.559,2.0,0.25,67.33333,3.375,21.53472,174.0,0.33333,
MAP1LC3B2,41066.0,0.62782,11.0,11.0,10.614,1.0,0.25,79.58333,3.7381,8.33193,202.0,0.67273,
ERN1,2.2034074404E11,0.90872,22.0,22.0,18.48,1.0,0.25,89.58333,3.97024,27.72903,486.0,0.75325,
WDR45,6.227020801E9,0.9963,13.0,14.0,12.286,1.0,0.25,81.33333,3.7619,50.21229,806.0,0.85714,
WDR45B,363600.0,0.81806,10.0,10.0,9.701,1.0,0.25,76.66667,3.63095,1.97784,32.0,0.91111,
WDR41,878.0,0.49207,11.0,11.0,8.044,1.0,0.25,79.33333,3.72024,38.18637,526.0,0.52727,
NRBF2,24.0,0.56839,4.0,4.0,5.091,1.0,0.25,72.41667,3.54762,0.0,0.0,1.0,
TMEM59,24.0,0.56839,4.0,4.0,4.661,1.0,0.2,67.36667,3.35714,0.0,0.0,1.0,
MFN1,1.2654029094E10,0.70215,23.0,23.0,17.356,3.0,0.25,89.5,3.95238,131.55966,1658.0,0.57312,
DYNLL1,3630302.0,0.62334,17.0,17.0,14.723,1.0,0.25,85.83333,3.89286,37.27386,586.0,0.56618,
OPTN,2.0923348773858E13,0.70372,26.0,26.0,17.815,1.0,0.25,90.33333,3.94048,126.74556,1748.0,0.55077,
PRKAA2,1.379070768E9,0.79025,28.0,28.0,19.989,1.0,0.25,91.91667,3.97619,59.80967,1208.0,0.60317,
PRKAA1,1.709816526E9,0.82795,31.0,31.0,22.128,1.0,0.25,94.58333,4.04167,70.87586,1578.0,0.61075,
ATG101,9.223372036854777E13,0.7749,34.0,34.0,21.206,3.0,0.25,94.16667,3.98214,158.42483,2196.0,0.55437,
PRKAG2,7.0447851E8,0.80267,25.0,25.0,19.627,1.0,0.25,91.08333,3.9881,47.04742,1030.0,0.63667,
WIPI1,9.223372036854777E13,0.84469,25.0,25.0,18.744,1.0,0.25,89.16667,3.91071,99.98438,1080.0,0.67,
DRAM1,1.7483562792E11,0.95495,18.0,18.0,15.628,1.0,0.25,86.33333,3.89286,7.1949,186.0,0.84967,
PRKAB2,1.216535784E9,0.78586,25.0,25.0,17.551,1.0,0.25,90.58333,3.96429,59.17036,1138.0,0.62333,
IKBKG,8.09227448E8,0.73116,22.0,22.0,17.189,2.0,0.25,87.66667,3.89881,141.25962,1612.0,0.60606,
GFAP,8804953.0,0.75718,19.0,20.0,16.06,2.0,0.25,87.0,3.89286,358.8565,3510.0,0.59474,
DDIT3,3.38993461908E12,0.91439,27.0,27.0,20.47,1.0,0.25,92.5,4.0119,37.90297,668.0,0.70655,
HIF1A,9.223372036854777E13,0.80951,52.0,52.0,28.568,6.0,0.33333,106.5,4.22024,250.11652,4096.0,0.50452,
ATG13,9.223372036854777E13,0.74039,38.0,38.0,22.625,2.0,0.25,97.66667,4.06548,319.81559,3634.0,0.51067,
CAPN1,46201.0,0.72963,11.0,12.0,10.465,2.0,0.25,82.16667,3.82143,339.35172,2422.0,0.65152,
AMBRA1,9.223372036854777E13,0.88665,32.0,32.0,22.392,1.0,0.25,95.16667,4.04762,45.86865,1014.0,0.64718,
ATG12,9.223372036854777E13,0.87022,39.0,39.0,25.839,1.0,0.25,99.91667,4.1369,182.00108,3240.0,0.59514,
NEDD4,86240.0,0.52948,16.0,18.0,13.22,5.0,0.33333,88.83333,3.99405,696.92603,6180.0,0.38562,
PARK7,5.2701582E7,0.56163,29.0,29.0,17.554,8.0,0.33333,95.16667,4.08929,423.59896,5414.0,0.42365,
LAMP2,9.223372036854777E13,0.7235,36.0,36.0,22.923,3.0,0.25,98.91667,4.1369,424.65262,4772.0,0.50794,
FOXO3,9.223372036854777E13,0.88175,48.0,48.0,28.679,1.0,0.33333,105.33333,4.22619,181.45936,3540.0,0.56383,
BCL2,4.029101E7,0.62316,19.0,19.0,15.275,1.0,0.25,86.41667,3.8869,49.98782,650.0,0.54386,
MAPK8,9.223372036854777E13,0.81923,41.0,41.0,25.917,2.0,0.25,100.41667,4.13095,217.68789,3204.0,0.55122,
SQSTM1,9.223372036854777E13,0.64663,61.0,61.0,29.745,8.0,0.33333,112.66667,4.33333,1223.16404,12864.0,0.38306,
FOXO1,9.223372036854777E13,0.89427,45.0,45.0,27.432,2.0,0.33333,103.33333,4.19048,132.34416,2854.0,0.58384,
PINK1,9.223372036854777E13,0.78298,41.0,42.0,26.48,2.0,0.33333,102.16667,4.18452,785.84022,8982.0,0.50174,
MAP1LC3A,9.223372036854777E13,0.7271,43.0,43.0,24.971,5.0,0.33333,103.33333,4.21429,519.44814,7584.0,0.48173,
SRC,7.5821591471496E13,0.63526,52.0,52.0,27.488,11.0,0.33333,108.0,4.27381,938.23011,8874.0,0.39593,
TREM2,92.0,0.4296,9.0,9.0,7.087,1.0,0.25,78.83333,3.73214,23.20759,282.0,0.5,
GNAI3,127.0,0.57059,6.0,7.0,5.794,2.0,0.25,75.0,3.6131,335.21703,2514.0,0.57143,
RRAGD,1.0980859E7,0.66324,20.0,21.0,14.332,4.0,0.25,86.91667,3.88095,484.64718,4586.0,0.51429,
ATG5,9.223372036854777E13,0.78383,50.0,50.0,27.832,3.0,0.25,106.75,4.25,681.48478,8364.0,0.49469,
MCL1,9.223372036854777E13,0.76053,43.0,43.0,26.454,5.0,0.33333,101.16667,4.1369,424.83358,4928.0,0.50388,
PIK3C2B,1446.0,0.64146,8.0,8.0,8.374,2.0,0.25,79.16667,3.7619,16.10556,196.0,0.78571,
BECN1,9.223372036854777E13,0.62469,73.0,74.0,32.288,8.0,0.33333,118.66667,4.39286,2163.41991,18582.0,0.34024,
MTOR,9.223372036854777E13,0.69695,71.0,71.0,32.238,5.0,0.33333,117.5,4.3869,1274.5355,14460.0,0.39356,
TFEB,9.223372036854777E13,0.85718,33.0,34.0,23.571,2.0,0.33333,97.83333,4.125,471.79579,4752.0,0.58289,
ATG7,9.223372036854777E13,0.86044,51.0,51.0,29.182,1.0,0.25,106.58333,4.23214,224.813,4708.0,0.53961,
PTK2,1.88024484E9,0.78377,24.0,24.0,18.839,1.0,0.25,89.41667,3.93452,85.4637,1128.0,0.63043,
MAPT,4.6260095E7,0.50734,38.0,39.0,21.803,3.0,0.25,99.08333,4.10714,806.73903,8686.0,0.33198,
EEF1A1,10801.0,0.76373,9.0,10.0,9.82,2.0,0.25,80.5,3.78571,31.919,422.0,0.71111,
MTDH,2.0,0.30779,2.0,2.0,2.856,1.0,0.25,70.08333,3.5,0.0,0.0,1.0,
HSP90AA1,9.223372036854777E13,0.61237,66.0,66.0,30.429,3.0,0.33333,115.0,4.35714,1229.51383,12608.0,0.35385,
HDAC6,9.223372036854777E13,0.70727,44.0,44.0,26.433,1.0,0.33333,103.5,4.20833,562.0563,7886.0,0.46512,
LEPR,51360.0,0.66441,14.0,14.0,12.222,1.0,0.25,79.75,3.70833,8.82224,156.0,0.64835,
STK11,1.3396763732403E13,0.84595,37.0,38.0,24.437,2.0,0.25,98.58333,4.10119,489.88914,4978.0,0.55761,
GSK3B,7.88115557976E12,0.87836,32.0,32.0,24.176,2.0,0.25,95.08333,4.04762,59.57417,1208.0,0.64113,
CDK5R1,363.0,0.55399,8.0,9.0,8.768,1.0,0.25,78.83333,3.7381,54.22085,788.0,0.52778,
LEP,2.634695892E10,0.79807,26.0,26.0,20.207,1.0,0.25,88.41667,3.875,37.13389,536.0,0.62462,
ITPR1,16212.0,0.50256,16.0,18.0,12.183,2.0,0.25,87.33333,3.93452,243.98631,2008.0,0.36601,
ATG3,9.223372036854777E13,0.92264,35.0,35.0,23.574,1.0,0.25,98.08333,4.11905,99.53333,2426.0,0.65378,
LAMTOR1,1.0898178E7,0.65377,18.0,18.0,12.207,1.0,0.25,83.16667,3.77976,95.04668,1470.0,0.5817,
ATM,5.3909362490208E13,0.7749,34.0,34.0,23.746,2.0,0.25,96.83333,4.08333,270.38095,3028.0,0.55437,
MAP1LC3B,9.223372036854777E13,0.76941,54.0,54.0,28.298,1.0,0.33333,109.0,4.28571,628.25483,8994.0,0.47379,
GABARAPL1,9.223372036854777E13,0.70727,44.0,44.0,25.375,1.0,0.33333,103.83333,4.22024,733.63878,9822.0,0.46512,
PIK3C2A,763.0,0.54893,9.0,10.0,7.9,2.0,0.25,80.66667,3.79167,209.47726,1438.0,0.51111,
STAT3,9.223372036854777E13,0.73412,51.0,51.0,27.518,1.0,0.25,105.25,4.18452,441.27892,5072.0,0.46039,
PIK3CA,5.529181952749801E13,0.72123,36.0,36.0,22.767,2.0,0.25,97.16667,4.07143,371.2037,3610.0,0.50635,
KDR,2.65628906E8,0.74089,23.0,23.0,17.217,2.0,0.25,89.0,3.93452,86.03146,1140.0,0.60474,
EP300,5.3130528396989E13,0.74384,36.0,37.0,23.281,3.0,0.33333,98.83333,4.125,509.51617,4696.0,0.49399,
PIK3C3,9.223372036854777E13,0.60973,61.0,62.0,29.479,10.0,0.25,113.08333,4.33333,2161.22317,19380.0,0.34955,
SESN2,8.7639414E7,0.71026,22.0,22.0,15.138,1.0,0.25,87.83333,3.90476,180.31744,2448.0,0.58874,
TSG101,11202.0,0.37741,26.0,26.0,13.338,3.0,0.33333,92.16667,4.01786,850.20548,7892.0,0.29538,
SIRT2,2.29921965516E12,0.93174,26.0,26.0,21.443,2.0,0.25,93.25,4.05357,63.77419,1208.0,0.72923,
HSPB1,2.0666172E7,0.77437,21.0,21.0,17.161,1.0,0.25,87.75,3.91071,42.94082,502.0,0.65238,
PRKAB1,1.223983752E9,0.76252,28.0,28.0,19.018,1.0,0.25,92.75,4.0119,77.37413,1382.0,0.58201,
GAPDH,9.223372036854777E13,0.66132,69.0,69.0,31.246,6.0,0.33333,116.66667,4.38095,1224.93229,13412.0,0.37681,
NAMPT,4359600.0,0.8558,13.0,13.0,12.583,1.0,0.25,79.58333,3.70833,2.96438,50.0,0.85897,
HGF,1.201132824E9,0.91087,18.0,18.0,14.944,1.0,0.25,83.41667,3.79167,26.24443,324.0,0.81046,
STUB1,9787203.0,0.72071,22.0,23.0,17.911,4.0,0.25,90.0,3.97024,682.88754,6868.0,0.54545,
TSC2,9.223372036854777E13,0.82619,45.0,45.0,26.619,1.0,0.25,102.33333,4.14881,244.59205,3504.0,0.53939,
CSNK2A1,10082.0,0.78725,8.0,10.0,9.303,1.0,0.25,81.0,3.79762,137.26286,1156.0,0.6,
TRIB3,409.0,0.57279,9.0,10.0,8.937,1.0,0.25,78.0,3.69048,22.93292,228.0,0.53333,
HMOX1,1.1233082125441E13,0.95247,30.0,31.0,22.795,1.0,0.25,94.41667,4.03571,90.73529,1184.0,0.66452,
XBP1,5.566765725383999E13,0.93583,28.0,28.0,23.112,1.0,0.25,92.66667,4.00595,40.51615,738.0,0.71429,
SIRT1,9.223372036854777E13,0.83167,51.0,52.0,29.034,2.0,0.25,106.91667,4.23214,662.61366,7134.0,0.50151,
ITGB4,1442.0,0.73175,7.0,9.0,7.938,2.0,0.25,76.33333,3.6369,393.86086,3824.0,0.55556,
IL10,2.7996566438E10,0.73978,30.0,30.0,20.853,2.0,0.25,91.5,3.94048,127.33719,1212.0,0.55172,
AKT1,9.223372036854777E13,0.59988,75.0,75.0,32.098,4.0,0.33333,120.5,4.44643,2015.9568,19206.0,0.33297,
CASP1,1.752750317528E12,0.86936,24.0,24.0,19.274,1.0,0.25,90.5,3.97619,143.94138,1810.0,0.69928,
S100A9,10.0,0.32413,5.0,5.0,4.124,1.0,0.25,72.58333,3.54762,6.84495,72.0,0.5,
HMGB1,5.3660517192E11,0.94427,23.0,23.0,18.815,1.0,0.25,90.83333,4.0,35.58504,668.0,0.77075,
CLU,5215.0,0.55995,11.0,12.0,9.41,1.0,0.25,80.75,3.76786,53.17764,484.0,0.5,
CASP3,9.223372036854777E13,0.73426,61.0,61.0,30.54,2.0,0.25,111.75,4.29762,772.05271,9596.0,0.43497,
TP53,9.223372036854777E13,0.55791,80.0,80.0,32.758,12.0,0.33333,122.5,4.45833,2389.65311,21274.0,0.30348,
AGER,746.0,0.55399,8.0,8.0,6.569,1.0,0.25,76.25,3.64881,8.65679,98.0,0.67857,
